exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
251123-125720,031,DQN,default,none,0,4,57.0,219,46,2026-03-16T17:26:45.655285
251123-125720,031,DQN,default,prior_sessions_same_maze,1,4,119.0,219,46,2026-03-16T17:26:45.985144
251122-140850,031,DQN,default,none,0,0,19.0,156,42,2026-03-16T17:26:46.130159
251122-140850,031,DQN,default,prior_sessions_same_maze,1,0,21.0,156,42,2026-03-16T17:26:46.369003
251122-140850,031,DQN,default,none,0,1,22.0,156,43,2026-03-16T17:26:46.509632
251122-140850,031,DQN,default,prior_sessions_same_maze,1,1,72.0,156,43,2026-03-16T17:26:46.771023
251122-140850,031,DQN,default,none,0,2,12.0,156,44,2026-03-16T17:26:46.927673
251122-140850,031,DQN,default,prior_sessions_same_maze,1,2,56.0,156,44,2026-03-16T17:26:47.166264
251122-140850,031,DQN,default,none,0,3,8.0,156,45,2026-03-16T17:26:47.349415
251122-140850,031,DQN,default,prior_sessions_same_maze,1,3,16.0,156,45,2026-03-16T17:26:47.639199
251122-140850,031,DQN,default,none,0,4,10.0,156,46,2026-03-16T17:26:47.775082
251122-140850,031,DQN,default,prior_sessions_same_maze,1,4,101.0,156,46,2026-03-16T17:26:48.040015
251121-141557,031,DQN,default,none,0,0,23.0,207,42,2026-03-16T17:26:48.205040
251121-141557,031,DQN,default,none,0,1,66.0,207,43,2026-03-16T17:26:48.367446
251121-141557,031,DQN,default,none,0,2,12.0,207,44,2026-03-16T17:26:48.526381
251121-141557,031,DQN,default,none,0,3,8.0,207,45,2026-03-16T17:26:48.723686
251121-141557,031,DQN,default,none,0,4,24.0,207,46,2026-03-16T17:26:48.903434
251120-132717,031,DQN,default,none,0,0,41.0,296,42,2026-03-16T17:26:49.119162
251120-132717,031,DQN,default,none,0,1,138.0,296,43,2026-03-16T17:26:49.380905
251120-132717,031,DQN,default,none,0,2,52.0,296,44,2026-03-16T17:26:49.640899
251120-132717,031,DQN,default,none,0,3,78.0,296,45,2026-03-16T17:26:49.968071
251120-132717,031,DQN,default,none,0,4,123.0,296,46,2026-03-16T17:26:50.222337
