exp_moment,animal_ID,model,history_len,config_name,repeat_idx,total_reward,n_actions,timestamp,seed,hpo_config
260211-143636,033,A2C,0,ego,3,41.0,283,2026-03-17T02:51:37.030467,60794,default
260211-143636,033,A2C,0,ego,4,63.0,283,2026-03-17T02:51:37.346577,60795,default
260213-001923,033,A2C,0,ego,0,68.0,250,2026-03-17T02:51:37.659927,60791,default
260213-001923,033,A2C,0,ego,1,57.0,250,2026-03-17T02:51:37.966115,60792,default
260213-001923,033,A2C,0,ego,2,56.0,250,2026-03-17T02:51:38.275236,60793,default
260213-001923,033,A2C,0,ego,3,41.0,250,2026-03-17T02:51:38.575682,60794,default
260213-001923,033,A2C,0,ego,4,63.0,250,2026-03-17T02:51:38.866588,60795,default
260213-223917,033,A2C,0,ego,0,68.0,257,2026-03-17T02:51:39.177799,60791,default
260213-223917,033,A2C,0,ego,1,62.0,257,2026-03-17T02:51:39.489284,60792,default
260213-223917,033,A2C,0,ego,2,56.0,257,2026-03-17T02:51:39.799027,60793,default
260213-223917,033,A2C,0,ego,3,41.0,257,2026-03-17T02:51:40.107488,60794,default
260213-223917,033,A2C,0,ego,4,63.0,257,2026-03-17T02:51:40.408952,60795,default
260216-230300,033,A2C,0,ego,0,70.0,270,2026-03-17T02:51:40.731486,60791,default
260216-230300,033,A2C,0,ego,1,68.0,270,2026-03-17T02:51:41.060586,60792,default
260216-230300,033,A2C,0,ego,2,60.0,270,2026-03-17T02:51:41.384736,60793,default
260216-230300,033,A2C,0,ego,3,41.0,270,2026-03-17T02:51:41.694295,60794,default
260216-230300,033,A2C,0,ego,4,63.0,270,2026-03-17T02:51:42.004520,60795,default
260217-193501,033,A2C,0,ego,0,65.0,242,2026-03-17T02:51:42.302995,60791,default
260217-193501,033,A2C,0,ego,1,54.0,242,2026-03-17T02:51:42.592317,60792,default
260217-193501,033,A2C,0,ego,2,56.0,242,2026-03-17T02:51:42.889710,60793,default
260217-193501,033,A2C,0,ego,3,41.0,242,2026-03-17T02:51:43.185786,60794,default
260217-193501,033,A2C,0,ego,4,62.0,242,2026-03-17T02:51:43.474029,60795,default
260218-180723,033,A2C,0,ego,0,26.0,291,2026-03-17T02:51:43.813021,60791,default
260218-180723,033,A2C,0,ego,1,38.0,291,2026-03-17T02:51:44.154329,60792,default
260218-180723,033,A2C,0,ego,2,42.0,291,2026-03-17T02:51:44.476898,60793,default
260218-180723,033,A2C,0,ego,3,49.0,291,2026-03-17T02:51:44.818765,60794,default
260218-180723,033,A2C,0,ego,4,14.0,291,2026-03-17T02:51:45.159918,60795,default
260219-233757,033,A2C,0,ego,0,21.0,175,2026-03-17T02:51:45.405405,60791,default
260219-233757,033,A2C,0,ego,1,28.0,175,2026-03-17T02:51:45.661493,60792,default
260219-233757,033,A2C,0,ego,2,41.0,175,2026-03-17T02:51:45.889073,60793,default
260219-233757,033,A2C,0,ego,3,21.0,175,2026-03-17T02:51:46.134781,60794,default
260219-233757,033,A2C,0,ego,4,11.0,175,2026-03-17T02:51:46.381100,60795,default
260220-185055,033,A2C,0,ego,0,26.0,246,2026-03-17T02:51:46.699428,60791,default
260220-185055,033,A2C,0,ego,1,37.0,246,2026-03-17T02:51:47.013099,60792,default
260220-185055,033,A2C,0,ego,2,41.0,246,2026-03-17T02:51:47.303467,60793,default
260220-185055,033,A2C,0,ego,3,47.0,246,2026-03-17T02:51:47.610046,60794,default
260220-185055,033,A2C,0,ego,4,14.0,246,2026-03-17T02:51:47.915527,60795,default
260222-190726,033,A2C,0,ego,0,21.0,151,2026-03-17T02:51:48.140457,60791,default
260222-190726,033,A2C,0,ego,1,21.0,151,2026-03-17T02:51:48.370211,60792,default
260222-190726,033,A2C,0,ego,2,40.0,151,2026-03-17T02:51:48.578797,60793,default
260222-190726,033,A2C,0,ego,3,16.0,151,2026-03-17T02:51:48.806112,60794,default
260222-190726,033,A2C,0,ego,4,11.0,151,2026-03-17T02:51:49.026673,60795,default
260223-191545,033,A2C,0,ego,0,21.0,131,2026-03-17T02:51:49.226744,60791,default
260223-191545,033,A2C,0,ego,1,19.0,131,2026-03-17T02:51:49.438071,60792,default
260223-191545,033,A2C,0,ego,2,36.0,131,2026-03-17T02:51:49.636299,60793,default
