exp_moment,model,seed,total_reward,n_actions,animal_ID
251221-193410,FullFwd,46,41.0,529,031
251221-193410,NoBkFullFwd,42,281.0,529,031
251221-193410,NoBkFullFwd,43,316.0,529,031
251221-193410,NoBkFullFwd,44,262.0,529,031
251221-193410,NoBkFullFwd,45,306.0,529,031
251221-193410,NoBkFullFwd,46,333.0,529,031
251221-193410,Clone_ego,42,134.0,529,031
251221-193410,Clone_ego,43,136.0,529,031
251221-193410,Clone_ego,44,140.0,529,031
251221-193410,Clone_ego,45,148.0,529,031
251221-193410,Clone_ego,46,92.0,529,031
251221-193410,Clone_allo_real,42,66.0,529,031
251221-193410,Clone_allo_real,43,70.0,529,031
251221-193410,Clone_allo_real,44,37.0,529,031
251221-193410,Clone_allo_real,45,56.0,529,031
251221-193410,Clone_allo_real,46,24.0,529,031
251221-193410,Clone_allo_latent,42,66.0,529,031
251221-193410,Clone_allo_latent,43,70.0,529,031
251221-193410,Clone_allo_latent,44,65.0,529,031
251221-193410,Clone_allo_latent,45,56.0,529,031
251221-193410,Clone_allo_latent,46,51.0,529,031
251220-165800,FullFwd,42,127.0,695,031
251220-165800,FullFwd,43,107.0,695,031
251220-165800,FullFwd,44,98.0,695,031
251220-165800,FullFwd,45,67.0,695,031
251220-165800,FullFwd,46,65.0,695,031
251220-165800,NoBkFullFwd,42,385.0,695,031
251220-165800,NoBkFullFwd,43,400.0,695,031
251220-165800,NoBkFullFwd,44,361.0,695,031
251220-165800,NoBkFullFwd,45,405.0,695,031
251220-165800,NoBkFullFwd,46,429.0,695,031
251220-165800,Clone_ego,42,217.0,695,031
251220-165800,Clone_ego,43,153.0,695,031
251220-165800,Clone_ego,44,223.0,695,031
251220-165800,Clone_ego,45,175.0,695,031
251220-165800,Clone_ego,46,215.0,695,031
251220-165800,Clone_allo_real,42,108.0,695,031
251220-165800,Clone_allo_real,43,93.0,695,031
251220-165800,Clone_allo_real,44,112.0,695,031
251220-165800,Clone_allo_real,45,94.0,695,031
251220-165800,Clone_allo_real,46,50.0,695,031
251220-165800,Clone_allo_latent,42,94.0,695,031
251220-165800,Clone_allo_latent,43,98.0,695,031
251220-165800,Clone_allo_latent,44,98.0,695,031
251220-165800,Clone_allo_latent,45,66.0,695,031
251220-165800,Clone_allo_latent,46,78.0,695,031
251130-232218,FullFwd,42,63.0,239,031
251130-232218,FullFwd,43,55.0,239,031
251130-232218,FullFwd,44,42.0,239,031
251130-232218,FullFwd,45,38.0,239,031
251130-232218,FullFwd,46,14.0,239,031
251130-232218,NoBkFullFwd,42,148.0,239,031
251130-232218,NoBkFullFwd,43,120.0,239,031
251130-232218,NoBkFullFwd,44,92.0,239,031
251130-232218,NoBkFullFwd,45,139.0,239,031
251130-232218,NoBkFullFwd,46,144.0,239,031
251130-232218,Clone_ego,42,83.0,239,031
251130-232218,Clone_ego,43,55.0,239,031
251130-232218,Clone_ego,44,41.0,239,031
251130-232218,Clone_ego,45,49.0,239,031
251130-232218,Clone_ego,46,62.0,239,031
251130-232218,Clone_allo_real,42,27.0,239,031
251130-232218,Clone_allo_real,43,45.0,239,031
251130-232218,Clone_allo_real,44,33.0,239,031
251130-232218,Clone_allo_real,45,48.0,239,031
251130-232218,Clone_allo_real,46,14.0,239,031
251130-232218,Clone_allo_latent,42,50.0,239,031
251130-232218,Clone_allo_latent,43,26.0,239,031
251130-232218,Clone_allo_latent,44,42.0,239,031
251130-232218,Clone_allo_latent,45,36.0,239,031
251130-232218,Clone_allo_latent,46,14.0,239,031
