exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
250319-172702,030,250311_latMaz106,VarMarkov,3,22.0,460,213,45,0.0482,250319
250319-172702,030,250311_latMaz106,VarMarkov,4,19.0,460,213,46,0.0469,250319
250318-140617,030,250311_latMaz106,VarMarkov,0,110.0,577,264,42,0.05,250318
250318-140617,030,250311_latMaz106,VarMarkov,1,86.0,577,264,43,0.0523,250318
250318-140617,030,250311_latMaz106,VarMarkov,2,42.0,577,264,44,0.0511,250318
250318-140617,030,250311_latMaz106,VarMarkov,3,61.0,577,264,45,0.0498,250318
250318-140617,030,250311_latMaz106,VarMarkov,4,18.0,577,264,46,0.0486,250318
250316-161809,030,250311_latMaz107,VarMarkov,0,33.0,516,116,42,0.0487,250316
250316-161809,030,250311_latMaz107,VarMarkov,1,34.0,516,116,43,0.0456,250316
250316-161809,030,250311_latMaz107,VarMarkov,2,30.0,516,116,44,0.0456,250316
250316-161809,030,250311_latMaz107,VarMarkov,3,50.0,516,116,45,0.0478,250316
250316-161809,030,250311_latMaz107,VarMarkov,4,19.0,516,116,46,0.0471,250316
250314-134724,030,250311_latMaz106,VarMarkov,0,20.0,198,81,42,0.0413,250314
250314-134724,030,250311_latMaz106,VarMarkov,1,15.0,198,81,43,0.0429,250314
250314-134724,030,250311_latMaz106,VarMarkov,2,31.0,198,81,44,0.0424,250314
250314-134724,030,250311_latMaz106,VarMarkov,3,34.0,198,81,45,0.0399,250314
250314-134724,030,250311_latMaz106,VarMarkov,4,14.0,198,81,46,0.0409,250314
250313-175923,030,250311_latMaz105,VarMarkov,0,28.0,193,102,42,0.0395,250313
250313-175923,030,250311_latMaz105,VarMarkov,1,31.0,193,102,43,0.0405,250313
250313-175923,030,250311_latMaz105,VarMarkov,2,35.0,193,102,44,0.0402,250313
250313-175923,030,250311_latMaz105,VarMarkov,3,52.0,193,102,45,0.0405,250313
250313-175923,030,250311_latMaz105,VarMarkov,4,18.0,193,102,46,0.0395,250313
250313-131710,030,250311_latMaz105,VarMarkov,0,7.0,22,9,42,0.0366,250313
250313-131710,030,250311_latMaz105,VarMarkov,1,14.0,22,9,43,0.0377,250313
250313-131710,030,250311_latMaz105,VarMarkov,2,6.0,22,9,44,0.0376,250313
250313-131710,030,250311_latMaz105,VarMarkov,3,10.0,22,9,45,0.0361,250313
250313-131710,030,250311_latMaz105,VarMarkov,4,6.0,22,9,46,0.0393,250313
250313-124959,030,250311_latMaz104,VarMarkov,0,26.0,266,104,42,0.0413,250313
250313-124959,030,250311_latMaz104,VarMarkov,1,26.0,266,104,43,0.0414,250313
250313-124959,030,250311_latMaz104,VarMarkov,2,26.0,266,104,44,0.042,250313
250313-124959,030,250311_latMaz104,VarMarkov,3,21.0,266,104,45,0.0409,250313
250313-124959,030,250311_latMaz104,VarMarkov,4,39.0,266,104,46,0.0425,250313
250312-193044,030,250311_latMaz103,VarMarkov,0,7.0,81,40,42,0.0394,250312
250312-193044,030,250311_latMaz103,VarMarkov,1,14.0,81,40,43,0.0381,250312
250312-193044,030,250311_latMaz103,VarMarkov,2,21.0,81,40,44,0.037,250312
250312-193044,030,250311_latMaz103,VarMarkov,3,9.0,81,40,45,0.0382,250312
250312-193044,030,250311_latMaz103,VarMarkov,4,16.0,81,40,46,0.0384,250312
250312-171944,030,250311_latMaz102,VarMarkov,0,103.0,604,209,42,0.0494,250312
250312-171944,030,250311_latMaz102,VarMarkov,1,72.0,604,209,43,0.0519,250312
250312-171944,030,250311_latMaz102,VarMarkov,2,85.0,604,209,44,0.0498,250312
250312-171944,030,250311_latMaz102,VarMarkov,3,87.0,604,209,45,0.0493,250312
250312-171944,030,250311_latMaz102,VarMarkov,4,107.0,604,209,46,0.0489,250312
250311-202106,030,250304maze_010,VarMarkov,0,47.0,379,142,42,0.0449,250311
250311-202106,030,250304maze_010,VarMarkov,1,96.0,379,142,43,0.0459,250311
250311-202106,030,250304maze_010,VarMarkov,2,58.0,379,142,44,0.044,250311
250311-202106,030,250304maze_010,VarMarkov,3,30.0,379,142,45,0.0437,250311
250311-202106,030,250304maze_010,VarMarkov,4,78.0,379,142,46,0.0442,250311
250310-170629,030,250310maze_011,VarMarkov,0,15.0,57,11,42,0.0374,250310
250310-170629,030,250310maze_011,VarMarkov,1,13.0,57,11,43,0.0374,250310
250310-170629,030,250310maze_011,VarMarkov,2,19.0,57,11,44,0.0385,250310
250310-170629,030,250310maze_011,VarMarkov,3,9.0,57,11,45,0.039,250310
250310-170629,030,250310maze_011,VarMarkov,4,10.0,57,11,46,0.0375,250310
250310-152155,030,250304maze_010,VarMarkov,0,54.0,431,127,42,0.0451,250310
250310-152155,030,250304maze_010,VarMarkov,1,96.0,431,127,43,0.0451,250310
250310-152155,030,250304maze_010,VarMarkov,2,60.0,431,127,44,0.0471,250310
250310-152155,030,250304maze_010,VarMarkov,3,30.0,431,127,45,0.0452,250310
250310-152155,030,250304maze_010,VarMarkov,4,96.0,431,127,46,0.0492,250310
250309-175714,030,250304maze_010,VarMarkov,0,64.0,552,178,42,0.0481,250309
250309-175714,030,250304maze_010,VarMarkov,1,111.0,552,178,43,0.0465,250309
250309-175714,030,250304maze_010,VarMarkov,2,135.0,552,178,44,0.0498,250309
250309-175714,030,250304maze_010,VarMarkov,3,63.0,552,178,45,0.0512,250309
250309-175714,030,250304maze_010,VarMarkov,4,88.0,552,178,46,0.0489,250309
250308-172531,030,250304maze_010,VarMarkov,0,36.0,180,34,42,0.0392,250308
250308-172531,030,250304maze_010,VarMarkov,1,13.0,180,34,43,0.0407,250308
250308-172531,030,250304maze_010,VarMarkov,2,43.0,180,34,44,0.0403,250308
250308-172531,030,250304maze_010,VarMarkov,3,24.0,180,34,45,0.04,250308
250308-172531,030,250304maze_010,VarMarkov,4,27.0,180,34,46,0.0401,250308
250308-151501,030,250304maze_010,VarMarkov,0,32.0,327,34,42,0.0444,250308
250308-151501,030,250304maze_010,VarMarkov,1,72.0,327,34,43,0.0447,250308
250308-151501,030,250304maze_010,VarMarkov,2,32.0,327,34,44,0.0447,250308
250308-151501,030,250304maze_010,VarMarkov,3,30.0,327,34,45,0.043,250308
