exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,status
260408-175657,044,ConditionalClone_ego,4,12.0,72,0.16666666666666666,ok
260408-222044,044,Random,0,,174,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-222044,044,Random_forward,0,,174,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-222044,044,Greedy_oracle,0,,174,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-222044,044,FullFwd,0,12.0,174,0.06896551724137931,ok
260408-222044,044,NoBkFullFwd,0,12.0,174,0.06896551724137931,ok
260408-222044,044,FSC_bio,0,12.0,174,0.06896551724137931,ok
260408-222044,044,Mouse-bias_ego,0,12.0,174,0.06896551724137931,ok
260408-222044,044,Mouse-bias_allo_real,0,12.0,174,0.06896551724137931,ok
260408-222044,044,Mouse-bias_allo_latent,0,12.0,174,0.06896551724137931,ok
260408-222044,044,ConditionalClone_ego,0,12.0,174,0.06896551724137931,ok
260408-222044,044,Random,1,,174,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260408-222044,044,Random_forward,1,,174,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260408-222044,044,Greedy_oracle,1,,174,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260408-222044,044,FullFwd,1,12.0,174,0.06896551724137931,ok
260408-222044,044,NoBkFullFwd,1,12.0,174,0.06896551724137931,ok
260408-222044,044,FSC_bio,1,12.0,174,0.06896551724137931,ok
260408-222044,044,Mouse-bias_ego,1,12.0,174,0.06896551724137931,ok
260408-222044,044,Mouse-bias_allo_real,1,11.0,174,0.06321839080459771,ok
260408-222044,044,Mouse-bias_allo_latent,1,11.0,174,0.06321839080459771,ok
260408-222044,044,ConditionalClone_ego,1,12.0,174,0.06896551724137931,ok
